# DerivedBinaryProperties.txt
#
# NOTE: This file is vendored for vm-js RegExp Unicode property escape tables.
# Unicode v17.0.0
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Format: <code point range> ; <binary property>
000030..000039 ; ASCII_Hex_Digit
000041..000046 ; ASCII_Hex_Digit
000061..000066 ; ASCII_Hex_Digit
000041..00005A ; Alphabetic
000061..00007A ; Alphabetic
0000AA ; Alphabetic
0000B5 ; Alphabetic
0000BA ; Alphabetic
0000C0..0000D6 ; Alphabetic
0000D8..0000F6 ; Alphabetic
0000F8..0002C1 ; Alphabetic
0002C6..0002D1 ; Alphabetic
0002E0..0002E4 ; Alphabetic
0002EC ; Alphabetic
0002EE ; Alphabetic
000345 ; Alphabetic
000363..000374 ; Alphabetic
000376..000377 ; Alphabetic
00037A..00037D ; Alphabetic
00037F ; Alphabetic
000386 ; Alphabetic
000388..00038A ; Alphabetic
00038C ; Alphabetic
00038E..0003A1 ; Alphabetic
0003A3..0003F5 ; Alphabetic
0003F7..000481 ; Alphabetic
00048A..00052F ; Alphabetic
000531..000556 ; Alphabetic
000559 ; Alphabetic
000560..000588 ; Alphabetic
0005B0..0005BD ; Alphabetic
0005BF ; Alphabetic
0005C1..0005C2 ; Alphabetic
0005C4..0005C5 ; Alphabetic
0005C7 ; Alphabetic
0005D0..0005EA ; Alphabetic
0005EF..0005F2 ; Alphabetic
000610..00061A ; Alphabetic
000620..000657 ; Alphabetic
000659..00065F ; Alphabetic
00066E..0006D3 ; Alphabetic
0006D5..0006DC ; Alphabetic
0006E1..0006E8 ; Alphabetic
0006ED..0006EF ; Alphabetic
0006FA..0006FC ; Alphabetic
0006FF ; Alphabetic
000710..00073F ; Alphabetic
00074D..0007B1 ; Alphabetic
0007CA..0007EA ; Alphabetic
0007F4..0007F5 ; Alphabetic
0007FA ; Alphabetic
000800..000817 ; Alphabetic
00081A..00082C ; Alphabetic
000840..000858 ; Alphabetic
000860..00086A ; Alphabetic
000870..000887 ; Alphabetic
000889..00088F ; Alphabetic
000897 ; Alphabetic
0008A0..0008C9 ; Alphabetic
0008D4..0008DF ; Alphabetic
0008E3..0008E9 ; Alphabetic
0008F0..00093B ; Alphabetic
00093D..00094C ; Alphabetic
00094E..000950 ; Alphabetic
000955..000963 ; Alphabetic
000971..000983 ; Alphabetic
000985..00098C ; Alphabetic
00098F..000990 ; Alphabetic
000993..0009A8 ; Alphabetic
0009AA..0009B0 ; Alphabetic
0009B2 ; Alphabetic
0009B6..0009B9 ; Alphabetic
